titles,subtitles,links
HAVE FAITH,Luke Littler and girlfriend join fans at England vs Panama World Cup clash,https://www.thesun.co.uk/sport/39569078/luke-littler-faith-england-world-cup-panama-darts/
'LESS IS MORE,England star sends fans wild with outfit on ITV – 'looking 1000/10 as always',https://www.thesun.co.uk/sport/39569089/england-alessia-russo-fans-itv-world-cup-outfit/
DEALS ON WHEELS,"Transfer news LIVE: Anderson to Man City UPDATE, Chelsea 'eye shock Xhaka move', Liverpool 'dealt Diomande blow'",https://www.thesun.co.uk/sport/39415879/transfer-news-live-chelsea-liverpool-man-city-anderson-updates/
GOAT & BOAT,"See Lionel Messi with Inter Miami ticket and Caribbean cruise from just £1,479",https://www.thesun.co.uk/sport/39491917/lionel-messi-inter-miami-tickets-cruise-caribbean-holiday/
BLUE VIEW,Rangers ticket and hotel packages for the new Scottish Premiership season,https://www.thesun.co.uk/sport/39467048/rangers-ticket-hotel-packages-scottish-premiership-ibrox/
DERBY DELIGHT,Book official Epsom Derby 2027 ticket and hotel packages from just £179,https://www.thesun.co.uk/sport/39308884/epsom-derby-ticket-hotel-packages-upgrades-transfers/
ELL OF A TRANSFER,Was Elliot Anderson worth £116m? SunSport runs rule over England star in first game since blockbuster Man City transfer,https://www.thesun.co.uk/sport/39570092/elliot-anderson-england-man-city-world-cup-panama/
'SHE IS THE MOMENT',Brazil World Cup fan threatens to burst out of revealing outfit,https://www.thesun.co.uk/sport/39572826/gabriela-moura-brazil-world-cup-fan/
YES WE CAN,Get the beers in for England v Panama with huge Sainsbury's deals on top brands,https://www.thesun.co.uk/sport/39540522/world-cup-beers-deals-barbecues-england-panama-sainsburys/
MORE HURT,Jarell Quansah limps off in yet another World Cup injury blow for England,https://www.thesun.co.uk/sport/39570181/jarell-quansah-injury-blow-england-world-cup-panama/
GET OUT OF TOWN,ITV commentator divides fans as he eats 'inconsiderate' food on plane,https://www.thesun.co.uk/sport/39572999/andros-townsend-video-boiled-eggs-plane-itv-world-cup/
THROW AWAY,England fall victim to rare new Fifa rule vs Panama as fans fume 'embarrassing',https://www.thesun.co.uk/sport/39569246/england-fall-victim-rule-world-cup-panama/
WELCOME PLAYER,Join Sun Vegas now and claim a 100% deposit match bonus and 100 free spins,https://www.thesun.co.uk/sun-bingo/33772563/join-sun-vegas-deposit-match-bonus-free-spins-new-player/
TOP DEALS,Best casino bonus and welcome offers for UK players (June 2026),https://www.thesun.co.uk/betting/34614926/best-casino-sign-up-bonus/
RATED,20 Best Online Casinos UK (2026): Top Rated UKGC Sites,https://www.thesun.co.uk/betting/32855412/best-online-casinos-uk/
PRESSING ON,The heartbreak driving England's Elliot Anderson at World Cup as 'Geordie Maradona' Forest ace bags £116m Man City move,https://www.thesun.co.uk/sport/39558928/elliot-anderson-heartbreak-england-world-cup-man-city/
GEORG-EOUS,Georgina Rodriguez puts on leggy display in low cut dress ahead of huge clash,https://www.thesun.co.uk/sport/39566464/georgina-rodriguez-leggy-display-low-cut-dress/
HARRY CANED,Tuchel 'LIVID' with England star Kane just three minutes into World Cup clash,https://www.thesun.co.uk/sport/39569217/thomas-tuchel-england-harry-kane-world-cup-panama/
GETTING RAISS-Y,Adult star who left fans stunned with shock outfit picks new World Cup team,https://www.thesun.co.uk/sport/39568551/porn-star-stuns-outfit-picks-world-cup-team/
FRIENDS REUNITED,Fans get goosebumps over video of Ronaldo and James' World Cup reunion,https://www.thesun.co.uk/sport/39571950/world-cup-cristiano-ronaldo-james-rodriguez-portugal-colombia/
GLOVES HIS JOB,"Iconic Cape Verde goalkeeper Vozinha, 40, reveals he has become unemployed",https://www.thesun.co.uk/sport/39565864/cape-verde-goalkeeper-vozinha-unemployed-minnows-qualify-knockout/
PAN-TASTIC,"Panama's sexiest fan starred in music video, has 1.2m Instagram followers and made bold England World Cup prediction",https://www.thesun.co.uk/sport/39316984/panama-sexiest-fan-jacky-guzman-england-world-cup-prediction/
INJURY SCARE,Saudi Arabia star carried off on stretcher after horror injury at World Cup,https://www.thesun.co.uk/sport/39563107/saudi-arabia-hassan-al-tambakti-horror-injury-world-cup/
TURKEY WINNER,Turkey crowned unofficial world champions despite early World Cup exit,https://www.thesun.co.uk/sport/39559678/turkey-world-cup-unofficial-champions/
VARCICAL,Stunning DR Congo goal disallowed for 'most absurd decision in VAR history',https://www.thesun.co.uk/sport/39571651/congo-disallowed-goal-uzbekistan-world-cup-referee-var/
STEP UP,Walking treadmill reduced from £300 to under £100 in Decathlon's summer sale,https://www.thesun.co.uk/sport/39550931/walking-treadmill-sale-decathlon/
EASY WIN,Get top deals on TVs including Samsung & LG for World Cup with lowest ever prices,https://www.thesun.co.uk/sport/39372725/samsung-tv-deals-argos-world-cup-kick-off/
TROPHY LIFE,Fans can get their hands on World Cup trophy thanks to LEGO's brilliant replica,https://www.thesun.co.uk/sport/39512083/football-fans-world-cup-trophy-lego-replica-bonus/
ITALIAN JOB,Rangers to snap up England international defender as they launch Serie A raid,https://www.thesun.co.uk/sport/39566944/rangers-england-defender-serie-a-godfrey/
TUCH-ING DISTANCE,Tuchel reveals when Anderson should become Man City player,https://www.thesun.co.uk/sport/39572142/elliot-anderson-transfer-manchester-city-thomas-tuchel/
GRAN THE MAN,Granit Xhaka 'lined up for shock transfer to Premier League giants',https://www.thesun.co.uk/sport/39567495/chelsea-transfer-granit-xhaka-sunderland-terms-agreed/
BRU-DEAL,Newcastle set to offer Bruno Guimaraes club-record contract after Arsenal offer,https://www.thesun.co.uk/sport/39566116/newcastle-bruno-guimaraes-arsenal-brazil-eddie-howe/
AMARI-GO,Leeds and Hull set to do battle for England U20 star after impressive EFL loan,https://www.thesun.co.uk/sport/39566298/amario-cozier-duberry-leeds-hull-brighton/
GUI-ME MORE,Arsenal in Guimaraes talks as Newcastle REJECT fresh Spurs Tonali approach,https://www.thesun.co.uk/sport/39545907/arsenal-bruno-guimaraes-talks-newcastle-reject-tottenham/
MAN UTD NEWS,"United 'eye Araujo', midfield 'blow', Fernandes battle, Tchouameni 'on radar'",https://www.thesun.co.uk/sport/39415482/man-utd-transfer-news-live-araujo-fernandes-tchouameni-latest/
ARSENAL NEWS,"Gunners 'in race for PSG defender', new Guimaraes 'bid', Rogers 'open' to move",https://www.thesun.co.uk/sport/39415117/arsenal-transfer-news-live-mbemba-guimaraes-rogers-updates/
